aalborg;奥尔堡
aberdeen;阿伯丁
alamogordo;阿拉莫戈多
alban;圣阿尔邦迪龙
albuquerque;阿尔伯克基
amsterdam;阿姆斯特丹
ancona;安科纳
artesia;阿蒂西亚
astoria;阿斯托里亚
bakersfield;贝克斯菲尔德
bari;巴里
barstow;巴斯托
bend;本德
bergen;卑尔根
berlin;柏林
bern;伯尔尼
bialystok;比亚韦斯托克
birmingham;伯明翰
bologna;博洛尼亚
bordeaux;波尔多
bourges;布尔
bratislava;布拉迪斯拉发
bremen;不来梅
brest;布雷斯特
brno;布尔诺
brussel;布鲁塞尔
budapest;布达佩斯
burns;伯恩斯
bystrica;班斯卡比斯特里察
calais;加莱
cambridge;剑桥
camp_verde;坎普维德
cardiff;加的夫
carlisle;卡莱尔
carlsbad;卡尔斯巴德
carlsbad_nm;卡尔斯巴德
carson_city;卡森城
cassino;卡西诺
catania;卡塔尼亚
catanzaro;卡坦扎罗
civaux;西沃
clermont;克莱蒙费朗
clifton;克利夫顿
clovis;克洛维斯
coos_bay;库斯湾
daugavpils;陶格夫匹尔斯
debrecen;德布勒森
dijon;第戎
dortmund;多特蒙德
dover;多佛
dresden;德累斯顿
duisburg;杜伊斯堡
dusseldorf;杜塞尔多夫
edinburgh;爱丁堡
ehrenberg;埃伦伯格
el_centro;埃尔森特罗
elko;埃尔科
ely;伊利
erfurt;爱尔福特
esbjerg;埃斯比约
eugene;尤金
eureka;尤里卡
farmington;法明顿
felixstowe;费利克斯托
firenze;佛罗伦萨
flagstaff;弗拉格斯塔夫
frankfurt;法兰克福
frederikshv;弗雷德里克斯
fresno;弗雷斯诺
grand_canyon;科罗拉多大峡谷
g_canyon_vlg;大峡谷村
gallup;盖洛普
gdansk;格但斯克
gedser;盖瑟
geneve;日内瓦
genova;热那亚
glasgow;格拉斯哥
golfech;戈尔弗克
goteborg;哥德堡
graz;格拉茨
grimsby;格里姆斯比
groningen;格罗宁根
hamburg;汉堡
hannover;汉诺威
helsingborg;赫尔辛堡
helsinki;赫尔辛基
hirtshals;希茨海尔斯
hobbs;霍布斯
holbrook;霍尔布鲁克
hornbrook;霍恩布鲁克
huron;休伦
innsbruck;因斯布鲁克
jackpot;杰克波特
jonkoping;延雪平
kaliningrad;加里宁格勒
kalmar;卡尔马
kapellskar;卡珀尔谢尔
karlskrona;卡尔斯克鲁纳
kassel;卡塞尔
katowice;卡托维兹
kaunas;考纳斯
kayenta;凯恩塔
kiel;基尔
kingman;金曼
klagenfurt;克拉根福
klaipeda;克莱佩达
klamath_f;克拉马斯瀑布
kobenhavn;哥本哈根
koln;科隆
kosice;科希策
kotka;科特卡
kouvola;科沃拉
krakow;克拉科夫
kristiansand;克里斯蒂安桑
kunda;昆达
lahti;拉赫蒂
lakeview;雷克威尔
larochelle;拉罗谢尔
las_cruces;拉斯克鲁塞斯
las_vegas;拉斯维加斯
laurent;圣洛朗
lehavre;勒阿弗尔
leipzig;莱比锡
lemans;勒芒
liege;列日
liepaja;利耶帕亚
lille;里尔
limoges;利摩日
linkoping;林雪平
linz;林茨
liverpool;利物浦
livorno;里窝那
lodz;罗兹
london;伦敦
los_angeles;洛杉矶
loviisa;洛维萨
lublin;卢布林
luga;卢加
luxembourg;卢森堡
lyon;里昂
magdeburg;马格德堡
malmo;马尔默
manchester;曼彻斯特
mannheim;曼海姆
marseille;马赛
mazeikiai;马热伊基艾
medford;梅德福
messina;墨西拿
metz;梅斯
milano;米兰
montpellier;蒙彼利埃
munchen;慕尼黑
naantali;纳坦利
nantes;南特
napoli;那不勒斯
narva;纳尔瓦
newcastle;纽卡斯尔泰恩
newport;纽波特
nice;尼斯
nogales;诺加利斯
nurnberg;纽伦堡
nynashamn;尼奈斯港
oakdale;奥克戴尔
oakland;奥克兰
odense;欧登塞
olkiluoto;奥尔基洛托
olsztyn;奥尔什丁
ontario;安大略
orebro;厄勒布鲁
oslo;奥斯陆
osnabruck;奥斯纳布吕克
ostrava;俄斯特拉发
oxnard;奥克斯纳德
page;佩吉
pajarito_rest_area;帕哈里托休息区
pedro_travel_center;佩德罗旅游中心
paldiski;帕尔迪斯基
palermo;巴勒莫
paluel;帕卢埃尔核电站
panevezys;帕内维斯
paris;巴黎
parma;帕尔马
parnu;派尔努
pecs;佩奇
pendleton;彭德尔顿
pescara;佩斯卡拉
petersburg;圣彼得堡
phoenix;菲尼克斯
pioche;皮奥奇
plymouth;普利茅斯
pori;波里
portland;波特兰
poznan;波兹南
prague;布拉格
primm;普里姆
pskov;普斯科夫
raton;拉顿
redding;雷丁
reims;兰斯
rennes;雷恩
reno;里诺
rezekne;雷泽克内
riga;里加
roma;罗马
roscoff;罗斯科夫
rostock;罗斯托克
roswell;罗斯威尔
rotterdam;鹿特丹
sacramento;萨克拉门托
salem;塞勒姆
salzburg;萨尔茨堡
san_diego;圣地亚哥
san_francisc;旧金山
san_rafael;圣拉斐尔
san_simon;圣西蒙
sangiovanni;圣乔瓦尼别墅
santa_cruz;圣克鲁斯
santa_fe;圣菲
santa_maria;圣玛丽亚
sheffield;谢菲尔德
show_low;肖洛
siauliai;希奥利艾
sierra_vista;谢拉维斯塔
socorro;索科罗
sodertalje;南泰利耶
sosnovy_bor;索斯诺维博尔
southampton;南安普敦
stavanger;斯塔万格
stockholm;斯德哥尔摩
stockton;斯托克顿
