AlandIsland;奥兰群岛
Andora;安道尔
Arizona;亚利桑那州
Austria;奥地利
Belarus;白俄罗斯
Belgium;比利时
Bulgaria;保加利亚
California;加利福尼亚州
Croatia;克罗地亚
Czech;捷克
Denmark;丹麦
England;英国
Estonia;爱沙尼亚
Faroe Island;法罗群岛
Finland;芬兰
France;法国
Germany;德国
Germanz;德国
Hungary;匈牙利
Iceland;冰岛
Ireland;爱尔兰
Italy;意大利
Latvia;拉脱维亚
Lichtenstein;利希滕斯坦
Lithuania;立陶宛
Luxembourg;卢森堡
Moldovia;摩尔多瓦
Netherlands;荷兰
Nevada;内华达州
New Mexico;新墨西哥州
Norway;挪威
Oregon;俄勒冈
Poland;波兰
Romania;罗马尼亚
Russia;俄国
Serbia;塞尔维亚
Slovakia;斯洛伐克
Slovenia;斯洛文尼亚
Spain;西班牙
Sweden;瑞典
Switzerland;瑞士
Ukraine;乌克兰
All;All
